name,affiliation,headshot,summary,bio,time1,time2
Colin Rundel,University of Edinburgh & Duke University,,"<p>Colin Rundel is Lecturer in Statistics and Data Science in the School of Mathematics at the University of Edinburgh and an Assistant Professor of the Practice in the Department of Statistical Science at Duke University. He is a long time user R and RStudio and his research interests include statistical computing, bayesian methods for spatial statistics, with a focus on applications in biology and ecology.</p>
","<p>Colin Rundel is Lecturer in Statistics and Data Science in the School of Mathematics at the University of Edinburgh and an Assistant Professor of the Practice in the Department of Statistical Science at Duke University. He is a long time user R and RStudio and his research interests include statistical computing, bayesian methods for spatial statistics, with a focus on applications in biology and ecology.</p>
<p class=""speaker-links"">
  <a href=""https://twitter.com/rundel"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/twitter.png"" alt=""Twitter"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://github.com/rundel"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/github.png"" alt=""GitHub"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
</p>",2021-01-22 02:00,2021-01-22 02:00
Danielle Oberdier,,,,,2021-01-22 02:00,2021-01-22 02:00
Danielle Smalls-Perkins,,,,,2021-01-21 18:00,2021-01-21 18:00
Dean Marchiori,,https://rstudio-global-2021.s3.amazonaws.com/speakers/deanmarchiori.jpg,"<p>Dean Marchiori is a Statistician based in Sydney, Australia. He currently works with Endeavour Energy as a Senior Data Scientist modelling bushfire and vegetation risk on the electricity network.<br />
Dean's career started in finance as an equities trader before moving into advanced analytics, where he has worked with some of Australia’s largest organisations.  His professional interests are in geospatial analysis, time series modelling and the R programming language.<br />
In 2019, Dean was named one of the top 10 analytics leaders in Australia by IAPA. He is also recognised as an Accredited Statistician with the Statistical Society of Australia. He holds a Bachelor of Science in Mathematics (awarded with University Medal) and a Masters degree in Applied Finance.<br />
Outside of work Dean enjoys bodysurfing, running and spending time with his wife and two boys.</p>
","<p>Dean Marchiori is a Statistician based in Sydney, Australia. He currently works with Endeavour Energy as a Senior Data Scientist modelling bushfire and vegetation risk on the electricity network.<br />
Dean's career started in finance as an equities trader before moving into advanced analytics, where he has worked with some of Australia’s largest organisations.  His professional interests are in geospatial analysis, time series modelling and the R programming language.<br />
In 2019, Dean was named one of the top 10 analytics leaders in Australia by IAPA. He is also recognised as an Accredited Statistician with the Statistical Society of Australia. He holds a Bachelor of Science in Mathematics (awarded with University Medal) and a Masters degree in Applied Finance.<br />
Outside of work Dean enjoys bodysurfing, running and spending time with his wife and two boys.</p>
<p class=""speaker-links"">
  <a href=""https://deanmarchiori.github.io"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/homepage.png"" alt=""Homepage"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://twitter.com/deanmarchiori"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/twitter.png"" alt=""Twitter"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://github.com/deanmarchiori"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/github.png"" alt=""GitHub"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://www.linkedin.com/in/deanmarchiori"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/linkedin.png"" alt=""LinkedIn"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
</p>",2021-01-22 02:00,2021-01-22 02:00
Dorris Scott,,,,,2021-01-21 18:00,2021-01-21 18:00
Emily Riederer,Capital One,https://rstudio-global-2021.s3.amazonaws.com/speakers/emilyriederer.jpg,"<p>Emily Riederer is a Senior Analytics Manager at Capital One where she leads a team building innersource data products, tools, and applications in R. Emily is an active member of the R community; she is the developer of the <code>projmgr</code> and <code>convo</code> R packages, a founding co-organizer of the annual satRday Chicago conference, and frequently writes about R and data science on Twitter and her blog (emily.rbind.io). Most recently, she coauthored the <em>R Markdown Cookbook</em> from CRC Press and contributed essays to the forthcoming O'Reilly book <em>97 Things Data Engineers Should Know</em>.</p>
","<p>Emily Riederer is a Senior Analytics Manager at Capital One where she leads a team building innersource data products, tools, and applications in R. Emily is an active member of the R community; she is the developer of the <code>projmgr</code> and <code>convo</code> R packages, a founding co-organizer of the annual satRday Chicago conference, and frequently writes about R and data science on Twitter and her blog (emily.rbind.io). Most recently, she coauthored the <em>R Markdown Cookbook</em> from CRC Press and contributed essays to the forthcoming O'Reilly book <em>97 Things Data Engineers Should Know</em>.</p>
<p class=""speaker-links"">
  <a href=""https://emily.rbind.io/"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/homepage.png"" alt=""Homepage"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://twitter.com/EmilyRiederer"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/twitter.png"" alt=""Twitter"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://github.com/emilyriederer"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/github.png"" alt=""GitHub"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://www.linkedin.com/in/emilyriederer/"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/linkedin.png"" alt=""LinkedIn"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
</p>",2021-01-21 22:00,2021-01-21 22:00
Eric Gunnar Cronstrom,Central Michigan University,https://rstudio-global-2021.s3.amazonaws.com/speakers/ericgunnarcronstrom.jpg,"<p>Eric is responsible for administering a wide range of day to day program functions associated with the performance and accountability of CMU partner schools. He ensures that the data the Center utilizes to evaluate school performance is accurate and stored within a sound data infrastructure. He also leverages his wide range of technical skills to lead the development and production of reports and respond to questions regarding school performance and demographic context.</p>
<p>Prior to joining the Center, Eric was a database administrator for Central Michigan University Libraries. He has also served as a lecturer at Central Michigan University teaching courses in web design, database design and programming. He earned a master’s degree in information systems management and a bachelor’s degree in computer science from Central Michigan University. He is also pursuing an additional master’s degree in applied statistics at Central Michigan University.</p>
","<p>Eric is responsible for administering a wide range of day to day program functions associated with the performance and accountability of CMU partner schools. He ensures that the data the Center utilizes to evaluate school performance is accurate and stored within a sound data infrastructure. He also leverages his wide range of technical skills to lead the development and production of reports and respond to questions regarding school performance and demographic context.</p>
<p>Prior to joining the Center, Eric was a database administrator for Central Michigan University Libraries. He has also served as a lecturer at Central Michigan University teaching courses in web design, database design and programming. He earned a master’s degree in information systems management and a bachelor’s degree in computer science from Central Michigan University. He is also pursuing an additional master’s degree in applied statistics at Central Michigan University.</p>
",2021-01-22 02:00,2021-01-22 02:00
Garrick Aden-Buie,"RStudio, PBC",https://rstudio-global-2021.s3.amazonaws.com/speakers/garrickadenbuie.jpg,"<p>Garrick is a Data Science Educator at RStudio who lives in sunny St. Petersburg, Florida. His passion is combining creative coding with programming education, using code to build tools that teach coding to new and advanced R users alike. He's developed a number of open source packages and addins for <code>xaringan</code> including <code>xaringanthemer</code> for complete, custom slide themes and <code>xaringanExtra</code> for a variety of advanced additions to complete <code>xaringan</code> slides with live broadcasting, tabbed panels, custom animations, and more.</p>
","<p>Garrick is a Data Science Educator at RStudio who lives in sunny St. Petersburg, Florida. His passion is combining creative coding with programming education, using code to build tools that teach coding to new and advanced R users alike. He's developed a number of open source packages and addins for <code>xaringan</code> including <code>xaringanthemer</code> for complete, custom slide themes and <code>xaringanExtra</code> for a variety of advanced additions to complete <code>xaringan</code> slides with live broadcasting, tabbed panels, custom animations, and more.</p>
<p class=""speaker-links"">
  <a href=""https://www.garrickadenbuie.com"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/homepage.png"" alt=""Homepage"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://twitter.com/grrrck"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/twitter.png"" alt=""Twitter"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://github.com/gadenbuie"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/github.png"" alt=""GitHub"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
</p>",2021-01-22 02:00,2021-01-22 02:00
Grant Fleming,Elder Research Inc.,https://rstudio-global-2021.s3.amazonaws.com/speakers/grantfleming.png,"<p>Grant Fleming is a Data Scientist at Elder Research, co-author of the Wiley book <em>Responsible Data Science</em> (2021), and contributor to the O'Reilly book <em>97 Things About Ethics Everyone in Data Science Should Know</em>. His professional focus is on machine learning for social science applications, model explainability, and building tools for reproducible data science. Previously, Grant was a research contractor for USAID.</p>
","<p>Grant Fleming is a Data Scientist at Elder Research, co-author of the Wiley book <em>Responsible Data Science</em> (2021), and contributor to the O'Reilly book <em>97 Things About Ethics Everyone in Data Science Should Know</em>. His professional focus is on machine learning for social science applications, model explainability, and building tools for reproducible data science. Previously, Grant was a research contractor for USAID.</p>
<p class=""speaker-links"">
  <a href=""https://twitter.com/hearthehearsay"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/twitter.png"" alt=""Twitter"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://github.com/Gflemin"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/github.png"" alt=""GitHub"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://www.linkedin.com/in/grant-fleming-a1712a131"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/linkedin.png"" alt=""LinkedIn"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
</p>",2021-01-21 22:00,2021-01-21 22:00
Hadley Wickham,RStudio,,"<p>Hadley Wickham is Chief Scientist at RStudio. He's interested in building tools (computational and cognitive) that make data ingest, preparation, manipulation, visualization and analysis easier. He's developed over 30 R packages, for data analysis (ggplot2, dplyr, tidyr), making frustrating parts of R easier to use (lubridate for dates, stringr for strings, httr for accessing web APIs), and for streamlining the R package development (devtools, roxygen2, and testthat).</p>
","<p>Hadley Wickham is Chief Scientist at RStudio. He's interested in building tools (computational and cognitive) that make data ingest, preparation, manipulation, visualization and analysis easier. He's developed over 30 R packages, for data analysis (ggplot2, dplyr, tidyr), making frustrating parts of R easier to use (lubridate for dates, stringr for strings, httr for accessing web APIs), and for streamlining the R package development (devtools, roxygen2, and testthat).</p>
<p class=""speaker-links"">
  <a href=""http://hadley.nz/"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/homepage.png"" alt=""Homepage"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://twitter.com/hadleywickham"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/twitter.png"" alt=""Twitter"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://github.com/hadley"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/github.png"" alt=""GitHub"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://www.linkedin.com/in/hadleywickham"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/linkedin.png"" alt=""LinkedIn"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
</p>",2021-01-21 16:00,2021-01-21 16:00
Irene Steves,Riskified,https://rstudio-global-2021.s3.amazonaws.com/speakers/irenesteves.jpg,"<p>Irene holds an M.Sc. in Ecology and a B.A. in Integrative Biology, through which she first discovered R and data science. Her interest in data led her to the Arctic Data Center at the University of California Santa Barbara, a summer internship at RStudio, and ultimately to the Research &amp; Data Science department at Riskified, where she now explores the complex patterns of fraud in eCommerce. In her free time, she studies Hebrew through podcasts and dubbed kids' movies.</p>
","<p>Irene holds an M.Sc. in Ecology and a B.A. in Integrative Biology, through which she first discovered R and data science. Her interest in data led her to the Arctic Data Center at the University of California Santa Barbara, a summer internship at RStudio, and ultimately to the Research &amp; Data Science department at Riskified, where she now explores the complex patterns of fraud in eCommerce. In her free time, she studies Hebrew through podcasts and dubbed kids' movies.</p>
<p class=""speaker-links"">
  <a href=""https://irene.rbind.io/"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/homepage.png"" alt=""Homepage"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://twitter.com/i_steves"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/twitter.png"" alt=""Twitter"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
  <a href=""https://github.com/isteves"">
    <img src=""https://rstudio-global-2021.s3.amazonaws.com/icons/github.png"" alt=""GitHub"" style=""border: none; width: 20px; height: 20px;""/>
  </a>
</p>",2021-01-21 18:00,2021-01-21 18:00
